student_id,class,co-op,prog_exp,age,start_sal,datetimestamp,python,java,r,c/c++,other(s)
8193,Senior,True,10,253.0,45.517,2022-09-09 14:15:00,True,False,False,False,False
2113,Fifth year,True,6,,45.517,2022-09-09 14:14:00,False,True,True,True,False
4959,Senior,True,10,251.0,95.0,2022-09-09 16:06:00,True,True,True,False,False
3331,Senior,True,8,251.0,90.0,2022-09-09 14:20:00,True,True,False,False,False
1678,Senior,True,10,263.0,90.0,2022-09-09 16:07:00,True,True,False,True,False
8508,Sophomore,False,9,236.0,100.0,2022-09-09 16:05:00,True,True,False,False,True
4263,Sophomore,False,7,227.0,45.517,2022-09-09 15:37:00,False,True,False,False,False
6939,Senior,True,9,263.0,80.0,2022-09-09 14:16:00,True,False,False,False,False
5489,Sophomore,False,9,245.0,100.0,2022-09-09 15:38:00,True,True,False,False,True
3287,Sophomore,False,10,233.0,95.0,2022-09-09 16:06:00,True,True,False,True,False
5192,Senior,True,7,272.0,100.0,2022-09-09 14:20:00,True,False,False,False,False
8694,Sophomore,False,7,237.0,185.0,2022-09-09 14:17:00,True,False,False,False,False
6930,Sophomore,False,6,242.0,55.0,2022-09-09 16:07:00,True,True,False,False,True
2251,Sophomore,False,6,236.0,100.0,2022-09-09 16:06:00,False,True,False,False,False
7482,Sophomore,False,10,233.0,70.0,2022-09-09 13:43:00,True,True,False,True,False
5892,Sophomore,False,6,237.0,100.0,2022-09-09 15:54:00,True,True,False,True,False
5410,Sophomore,False,6,234.0,100.0,2022-09-09 16:07:00,False,True,False,False,False
5237,Sophomore,False,7,233.0,80.0,2022-09-09 16:04:00,True,True,False,False,True
2075,Senior,True,5,275.0,90.0,2022-09-10 16:30:00,True,False,False,False,False
4835,Junior,True,8,262.0,100.0,2022-09-09 15:50:00,True,False,True,False,True
6735,Sophomore,False,7,230.0,73.0,2022-09-09 16:06:00,False,True,False,False,False
4978,Senior,True,10,264.0,100.0,2022-09-09 14:13:00,True,True,False,True,False
2416,Junior,True,2,246.0,100.0,2022-09-09 13:46:00,False,True,False,False,False
6938,Sophomore,False,10,238.0,75.0,2022-09-09 13:43:00,True,True,True,False,False
7062,Sophomore,False,5,228.0,70.0,2022-09-12 16:02:00,True,False,False,False,False
3456,Sophomore,False,10,19.0,100.0,2022-09-15 10:36:54,False,True,False,False,True
6633,Sophomore,False,9,236.0,70.0,2022-09-15 14:12:59,False,True,False,False,False
5093,Sophomore,False,3,236.0,100.0,2022-09-16 13:32:34,True,True,False,False,False
3251,Sophomore,False,7,228.0,45.517,2022-09-16 13:38:59,False,True,False,False,False
